Driver,LapTime,Compound,TyreLife,LapNumber
VER,0 days 00:01:39.019000,SOFT,4.0,1.0
VER,0 days 00:01:37.974000,SOFT,5.0,2.0
VER,0 days 00:01:38.006000,SOFT,6.0,3.0
VER,0 days 00:01:37.976000,SOFT,7.0,4.0
VER,0 days 00:01:38.035000,SOFT,8.0,5.0
VER,0 days 00:01:37.986000,SOFT,9.0,6.0
VER,0 days 00:01:38.021000,SOFT,10.0,7.0
VER,0 days 00:01:38.154000,SOFT,11.0,8.0
VER,0 days 00:01:38.278000,SOFT,12.0,9.0
VER,0 days 00:01:38.369000,SOFT,13.0,10.0
VER,0 days 00:01:38.483000,SOFT,14.0,11.0
VER,0 days 00:01:38.591000,SOFT,15.0,12.0
VER,0 days 00:01:38.482000,SOFT,16.0,13.0
VER,0 days 00:01:41.295000,SOFT,17.0,14.0
VER,0 days 00:01:58.378000,SOFT,1.0,15.0
VER,0 days 00:01:37.801000,SOFT,2.0,16.0
VER,0 days 00:01:37.648000,SOFT,3.0,17.0
VER,0 days 00:01:37.614000,SOFT,4.0,18.0
VER,0 days 00:01:37.712000,SOFT,5.0,19.0
VER,0 days 00:01:37.788000,SOFT,6.0,20.0
VER,0 days 00:01:37.582000,SOFT,7.0,21.0
VER,0 days 00:01:37.651000,SOFT,8.0,22.0
VER,0 days 00:01:37.552000,SOFT,9.0,23.0
VER,0 days 00:01:37.387000,SOFT,10.0,24.0
VER,0 days 00:01:37.372000,SOFT,11.0,25.0
VER,0 days 00:01:37.682000,SOFT,12.0,26.0
VER,0 days 00:01:37.379000,SOFT,13.0,27.0
VER,0 days 00:01:37.651000,SOFT,14.0,28.0
VER,0 days 00:01:37.571000,SOFT,15.0,29.0
VER,0 days 00:01:37.549000,SOFT,16.0,30.0
VER,0 days 00:01:37.431000,SOFT,17.0,31.0
VER,0 days 00:01:37.691000,SOFT,18.0,32.0
VER,0 days 00:01:37.686000,SOFT,19.0,33.0
VER,0 days 00:01:37.839000,SOFT,20.0,34.0
VER,0 days 00:01:37.850000,SOFT,21.0,35.0
VER,0 days 00:01:40.964000,SOFT,22.0,36.0
VER,0 days 00:01:58.490000,HARD,1.0,37.0
VER,0 days 00:01:36.297000,HARD,2.0,38.0
VER,0 days 00:01:36.446000,HARD,3.0,39.0
VER,0 days 00:01:36.942000,HARD,4.0,40.0
VER,0 days 00:02:00.495000,HARD,5.0,41.0
VER,0 days 00:01:44.824000,HARD,6.0,42.0
VER,0 days 00:01:36.890000,HARD,7.0,43.0
VER,0 days 00:01:36.236000,HARD,8.0,44.0
VER,0 days 00:01:37.015000,HARD,9.0,45.0
VER,0 days 00:01:36.701000,HARD,10.0,46.0
VER,0 days 00:01:37.009000,HARD,11.0,47.0
VER,0 days 00:01:36.918000,HARD,12.0,48.0
VER,0 days 00:01:36.962000,HARD,13.0,49.0
VER,0 days 00:01:37.250000,HARD,14.0,50.0
VER,0 days 00:01:37.427000,HARD,15.0,51.0
VER,0 days 00:01:36.919000,HARD,16.0,52.0
VER,0 days 00:01:36.890000,HARD,17.0,53.0
VER,0 days 00:01:36.678000,HARD,18.0,54.0
VER,0 days 00:01:36.322000,HARD,19.0,55.0
VER,0 days 00:01:37.205000,HARD,20.0,56.0
VER,0 days 00:01:36.373000,HARD,21.0,57.0
GAS,0 days 00:01:49.649000,SOFT,1.0,1.0
GAS,0 days 00:01:40.438000,SOFT,2.0,2.0
GAS,0 days 00:01:40.643000,SOFT,3.0,3.0
GAS,0 days 00:01:40.894000,SOFT,4.0,4.0
GAS,0 days 00:01:40.818000,SOFT,5.0,5.0
GAS,0 days 00:01:41.110000,SOFT,6.0,6.0
GAS,0 days 00:01:41.134000,SOFT,7.0,7.0
GAS,0 days 00:01:41.173000,SOFT,8.0,8.0
GAS,0 days 00:01:44.201000,SOFT,9.0,9.0
GAS,0 days 00:02:01.262000,HARD,1.0,10.0
GAS,0 days 00:01:38.762000,HARD,2.0,11.0
GAS,0 days 00:01:38.928000,HARD,3.0,12.0
GAS,0 days 00:01:39.349000,HARD,4.0,13.0
GAS,0 days 00:01:38.859000,HARD,5.0,14.0
GAS,0 days 00:01:38.985000,HARD,6.0,15.0
GAS,0 days 00:01:38.945000,HARD,7.0,16.0
GAS,0 days 00:01:39.011000,HARD,8.0,17.0
GAS,0 days 00:01:39.029000,HARD,9.0,18.0
GAS,0 days 00:01:39.066000,HARD,10.0,19.0
GAS,0 days 00:01:39.017000,HARD,11.0,20.0
GAS,0 days 00:01:39.327000,HARD,12.0,21.0
GAS,0 days 00:01:39.485000,HARD,13.0,22.0
GAS,0 days 00:01:39.263000,HARD,14.0,23.0
GAS,0 days 00:01:39.761000,HARD,15.0,24.0
GAS,0 days 00:01:42.288000,HARD,16.0,25.0
GAS,0 days 00:01:59.404000,HARD,1.0,26.0
GAS,0 days 00:01:38.729000,HARD,2.0,27.0
GAS,0 days 00:01:37.761000,HARD,3.0,28.0
GAS,0 days 00:01:38.012000,HARD,4.0,29.0
GAS,0 days 00:01:37.760000,HARD,5.0,30.0
GAS,0 days 00:01:37.968000,HARD,6.0,31.0
GAS,0 days 00:01:38.012000,HARD,7.0,32.0
GAS,0 days 00:01:37.974000,HARD,8.0,33.0
GAS,0 days 00:01:38.022000,HARD,9.0,34.0
GAS,0 days 00:01:38.088000,HARD,10.0,35.0
GAS,0 days 00:01:38.184000,HARD,11.0,36.0
GAS,0 days 00:01:38.133000,HARD,12.0,37.0
GAS,0 days 00:01:38.108000,HARD,13.0,38.0
GAS,0 days 00:01:38.537000,HARD,14.0,39.0
GAS,0 days 00:01:49.707000,HARD,15.0,40.0
GAS,0 days 00:02:08.544000,SOFT,1.0,41.0
GAS,0 days 00:01:35.068000,SOFT,2.0,42.0
GAS,0 days 00:01:35.942000,SOFT,3.0,43.0
GAS,0 days 00:01:35.792000,SOFT,4.0,44.0
GAS,0 days 00:01:36.186000,SOFT,5.0,45.0
GAS,0 days 00:01:36.041000,SOFT,6.0,46.0
GAS,0 days 00:01:36.120000,SOFT,7.0,47.0
GAS,0 days 00:01:36.368000,SOFT,8.0,48.0
GAS,0 days 00:01:36.803000,SOFT,9.0,49.0
GAS,0 days 00:01:36.551000,SOFT,10.0,50.0
GAS,0 days 00:01:36.635000,SOFT,11.0,51.0
GAS,0 days 00:01:36.891000,SOFT,12.0,52.0
GAS,0 days 00:01:36.979000,SOFT,13.0,53.0
GAS,0 days 00:01:37.222000,SOFT,14.0,54.0
GAS,0 days 00:01:37.559000,SOFT,15.0,55.0
GAS,0 days 00:01:37.845000,SOFT,16.0,56.0
GAS,0 days 00:01:38.147000,SOFT,17.0,57.0
PER,0 days 00:01:41.063000,SOFT,4.0,1.0
PER,0 days 00:01:38.862000,SOFT,5.0,2.0
PER,0 days 00:01:38.830000,SOFT,6.0,3.0
PER,0 days 00:01:38.758000,SOFT,7.0,4.0
PER,0 days 00:01:38.404000,SOFT,8.0,5.0
PER,0 days 00:01:38.718000,SOFT,9.0,6.0
PER,0 days 00:01:38.804000,SOFT,10.0,7.0
PER,0 days 00:01:39.172000,SOFT,11.0,8.0
PER,0 days 00:01:38.914000,SOFT,12.0,9.0
PER,0 days 00:01:39.085000,SOFT,13.0,10.0
PER,0 days 00:01:39.249000,SOFT,14.0,11.0
PER,0 days 00:01:39.197000,SOFT,15.0,12.0
PER,0 days 00:01:39.336000,SOFT,16.0,13.0
PER,0 days 00:01:38.739000,SOFT,17.0,14.0
PER,0 days 00:01:38.608000,SOFT,18.0,15.0
PER,0 days 00:01:38.770000,SOFT,19.0,16.0
PER,0 days 00:01:41.360000,SOFT,20.0,17.0
PER,0 days 00:01:58.797000,SOFT,3.0,18.0
PER,0 days 00:01:37.659000,SOFT,4.0,19.0
PER,0 days 00:01:37.448000,SOFT,5.0,20.0
PER,0 days 00:01:37.240000,SOFT,6.0,21.0
PER,0 days 00:01:37.169000,SOFT,7.0,22.0
PER,0 days 00:01:37.304000,SOFT,8.0,23.0
PER,0 days 00:01:37.352000,SOFT,9.0,24.0
PER,0 days 00:01:38.418000,SOFT,10.0,25.0
PER,0 days 00:01:37.454000,SOFT,11.0,26.0
PER,0 days 00:01:37.387000,SOFT,12.0,27.0
PER,0 days 00:01:37.211000,SOFT,13.0,28.0
PER,0 days 00:01:37.733000,SOFT,14.0,29.0
PER,0 days 00:01:37.400000,SOFT,15.0,30.0
PER,0 days 00:01:37.919000,SOFT,16.0,31.0
PER,0 days 00:01:37.722000,SOFT,17.0,32.0
PER,0 days 00:01:37.869000,SOFT,18.0,33.0
PER,0 days 00:01:40.686000,SOFT,19.0,34.0
PER,0 days 00:01:58.785000,HARD,1.0,35.0
PER,0 days 00:01:36.820000,HARD,2.0,36.0
PER,0 days 00:01:36.344000,HARD,3.0,37.0
PER,0 days 00:01:36.431000,HARD,4.0,38.0
PER,0 days 00:01:36.429000,HARD,5.0,39.0
PER,0 days 00:01:37.114000,HARD,6.0,40.0
PER,0 days 00:02:03.522000,HARD,7.0,41.0
PER,0 days 00:01:39.657000,HARD,8.0,42.0
PER,0 days 00:01:36.554000,HARD,9.0,43.0
PER,0 days 00:01:36.978000,HARD,10.0,44.0
PER,0 days 00:01:36.928000,HARD,11.0,45.0
PER,0 days 00:01:37.257000,HARD,12.0,46.0
PER,0 days 00:01:36.661000,HARD,13.0,47.0
PER,0 days 00:01:36.859000,HARD,14.0,48.0
PER,0 days 00:01:37.049000,HARD,15.0,49.0
PER,0 days 00:01:37.731000,HARD,16.0,50.0
PER,0 days 00:01:37.049000,HARD,17.0,51.0
PER,0 days 00:01:37.062000,HARD,18.0,52.0
PER,0 days 00:01:37.345000,HARD,19.0,53.0
PER,0 days 00:01:37.296000,HARD,20.0,54.0
PER,0 days 00:01:37.092000,HARD,21.0,55.0
PER,0 days 00:01:36.565000,HARD,22.0,56.0
PER,0 days 00:01:36.558000,HARD,23.0,57.0
ALO,0 days 00:01:43.608000,SOFT,4.0,1.0
ALO,0 days 00:01:39.792000,SOFT,5.0,2.0
ALO,0 days 00:01:39.100000,SOFT,6.0,3.0
ALO,0 days 00:01:39.548000,SOFT,7.0,4.0
ALO,0 days 00:01:39.662000,SOFT,8.0,5.0
ALO,0 days 00:01:39.674000,SOFT,9.0,6.0
ALO,0 days 00:01:39.729000,SOFT,10.0,7.0
ALO,0 days 00:01:39.959000,SOFT,11.0,8.0
ALO,0 days 00:01:40.275000,SOFT,12.0,9.0
ALO,0 days 00:01:40.203000,SOFT,13.0,10.0
ALO,0 days 00:01:41.147000,SOFT,14.0,11.0
ALO,0 days 00:01:40.934000,SOFT,15.0,12.0
ALO,0 days 00:01:40.341000,SOFT,16.0,13.0
ALO,0 days 00:01:42.212000,SOFT,17.0,14.0
ALO,0 days 00:01:59.692000,HARD,1.0,15.0
ALO,0 days 00:01:37.542000,HARD,2.0,16.0
ALO,0 days 00:01:38.139000,HARD,3.0,17.0
ALO,0 days 00:01:38.124000,HARD,4.0,18.0
ALO,0 days 00:01:38.361000,HARD,5.0,19.0
ALO,0 days 00:01:38.318000,HARD,6.0,20.0
ALO,0 days 00:01:38.407000,HARD,7.0,21.0
ALO,0 days 00:01:38.200000,HARD,8.0,22.0
ALO,0 days 00:01:37.853000,HARD,9.0,23.0
ALO,0 days 00:01:37.878000,HARD,10.0,24.0
ALO,0 days 00:01:38.139000,HARD,11.0,25.0
ALO,0 days 00:01:38.127000,HARD,12.0,26.0
ALO,0 days 00:01:38.612000,HARD,13.0,27.0
ALO,0 days 00:01:38.199000,HARD,14.0,28.0
ALO,0 days 00:01:38.585000,HARD,15.0,29.0
ALO,0 days 00:01:38.282000,HARD,16.0,30.0
ALO,0 days 00:01:38.009000,HARD,17.0,31.0
ALO,0 days 00:01:37.871000,HARD,18.0,32.0
ALO,0 days 00:01:37.769000,HARD,19.0,33.0
ALO,0 days 00:01:40.353000,HARD,20.0,34.0
ALO,0 days 00:01:57.389000,HARD,1.0,35.0
ALO,0 days 00:01:36.156000,HARD,2.0,36.0
ALO,0 days 00:01:37.431000,HARD,3.0,37.0
ALO,0 days 00:01:37.002000,HARD,4.0,38.0
ALO,0 days 00:01:37.243000,HARD,5.0,39.0
ALO,0 days 00:01:37.208000,HARD,6.0,40.0
ALO,0 days 00:02:06.713000,HARD,7.0,41.0
ALO,0 days 00:01:36.334000,HARD,8.0,42.0
ALO,0 days 00:01:36.911000,HARD,9.0,43.0
ALO,0 days 00:01:37.022000,HARD,10.0,44.0
ALO,0 days 00:01:37.931000,HARD,11.0,45.0
ALO,0 days 00:01:37.087000,HARD,12.0,46.0
ALO,0 days 00:01:37.326000,HARD,13.0,47.0
ALO,0 days 00:01:36.783000,HARD,14.0,48.0
ALO,0 days 00:01:36.726000,HARD,15.0,49.0
ALO,0 days 00:01:36.331000,HARD,16.0,50.0
ALO,0 days 00:01:36.960000,HARD,17.0,51.0
ALO,0 days 00:01:37.010000,HARD,18.0,52.0
ALO,0 days 00:01:37.010000,HARD,19.0,53.0
ALO,0 days 00:01:37.599000,HARD,20.0,54.0
ALO,0 days 00:01:37.662000,HARD,21.0,55.0
ALO,0 days 00:01:37.473000,HARD,22.0,56.0
